nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0003775	Cynthia Sleiter	\N	\N	set_decorator,art_department,art_director	tt0106582,tt0460791,tt0489099,tt1478839
nm0003776	Trey Stokes	\N	\N	visual_effects,director,editor	tt0358640,tt0372588,tt0120201,tt4060576
nm0003777	J. Ben Sykes	1974	\N	casting_department,miscellaneous,art_department	tt0104511,tt0169547,tt0107594,tt0107831
nm0003778	David Teller	\N	\N	editorial_department,editor,miscellaneous	tt0892782,tt0892769,tt0120762,tt0133240
nm0003779	Alessandra Torresani	1987	\N	actress,producer	tt8712204,tt4052886,tt1844624,tt0898266
nm0003780	Ladd Vance	\N	\N	producer,miscellaneous,actor	tt0266465,tt0095016,tt0098206,tt0111438
nm0003781	Timothy J. Warenz	\N	\N	production_manager,producer,miscellaneous	tt0188205,tt0167145,tt0150500,tt0292634
nm0003782	Jeff Winner	1971	\N	director,editor,producer	tt6351056,tt0238743,tt0171359,tt0408162
nm0003783	Bill Yahraus	\N	\N	editor,director,cinematographer	tt0095832,tt0238125,tt0238277,tt3235012
nm0003784	Joe Grisaffi	1968	\N	actor,casting_department,producer	tt1884338,tt0151309,tt2909196,tt2260324
nm0003785	Titus Y.H. Chong	\N	\N	producer,script_department,miscellaneous	tt1414215,tt1429042,tt3856916,tt0120751
nm0003786	Marc Singer	\N	\N	director,cinematographer,producer	tt1991264,tt0343329,tt0235327
nm0003787	Bil Yoelin	\N	\N	editor,writer,camera_department	tt5665418,tt1992224,tt0234854,tt0828164
nm0003788	Patti McGuire	\N	\N	miscellaneous,producer	tt0115685,tt1414382,tt0119488,tt0103776
nm0003789	David Birdsell	\N	\N	editor,director,writer	tt0137396,tt0161915,tt0325039,tt1024848
nm0003790	Carlos Barbosa	\N	\N	production_designer,producer,art_director	tt0155975,tt0435670,tt0393162,tt0285331
nm0003791	Christian Sebaldt	1958	\N	cinematographer,camera_department,producer	tt0247082,tt0318627,tt0120241,tt0185371
nm0003792	Dino Herrmann	\N	\N	sound_department,music_department,composer	tt2980210,tt0370263,tt0319262,tt3758172
nm0003793	David Attis	\N	\N	actor	tt0207881,tt0338159,tt0158671,tt0285624
nm0003794	Ryszard Bugajski	1943	2019	director,writer,producer	tt1420543,tt2807624,tt5662990,tt0084548
nm0003795	Kristina Trirogoff	1968	\N	editor,editorial_department,director	tt0113277,tt0233142,tt1723125,tt0369339
nm0003796	Ricky Edwards	\N	\N	composer,music_department,soundtrack	tt0117631,tt0881320,tt0120382,tt0455824
nm0003797	Thomas Vicari	1948	\N	music_department,sound_department,soundtrack	tt1291580,tt0318997,tt0266543,tt4975722
nm0003798	Donald Martin	\N	\N	writer,producer,miscellaneous	tt8338076,tt4933106,tt6098380,tt2806390
nm0003799	Shane Daly	1966	\N	actor	tt0482527,tt0165710,tt0242445,tt1650554
nm0003800	Sean Michael Fish	1964	\N	actor,miscellaneous,writer	tt0099692,tt0092319,tt5000986,tt0451018
nm0003801	Julian Ferreira	\N	\N	camera_department	tt0117366,tt0164887,tt0165628,tt0169161
nm0003802	Uta Briesewitz	1967	\N	cinematographer,director,camera_department	tt4574334,tt2261227,tt2375692,tt0475784
nm0003803	Donald Irvine	\N	\N	camera_department	tt0217823,tt0120903
nm0003804	Don Irvine	\N	\N	camera_department	tt1396484,tt0123755,tt0251160,tt0192071
nm0003805	Geoffrey Brown	\N	2015	producer,actor,director	tt0814212,tt0083868,tt0163179,tt0238217
nm0003806	Bill Bannerman	\N	\N	assistant_director,producer,miscellaneous	tt0105695,tt3829266,tt1854564,tt1259571
nm0003807	Paul Greenberg	1970	\N	producer,director,writer	tt6335244,tt0179803,tt3067176,tt0238319
nm0003808	Kate Forster	1969	\N	actress,producer	tt0166924,tt0183505,tt1619856,tt0200427
nm0003809	Ari Bass	1967	\N	producer,music_department,miscellaneous	tt0260555,tt0113816,tt0238410,tt0118076
nm0003810	Colin Matthews	\N	\N	art_department,actor,art_director	tt0298814,tt8368512,tt0183523,tt8623904
nm0003811	Kelley Ray	\N	\N	visual_effects,assistant_director	tt0120609,tt0113957,tt0120201,tt0115963
nm0003812	Guglielmo Enea	\N	\N	writer,director	tt0238468,tt0124203,tt0263274,tt1961356
nm0003813	Liselotte Pulver	1929	\N	actress,soundtrack	tt0052656,tt0051200,tt0055070,tt0055256
nm0003814	Alana Sosnova	\N	\N	actress,producer,miscellaneous	tt0166845,tt0107752,tt0193508,tt0112998
nm0003815	Ronn Brown	\N	\N	visual_effects,animation_department,art_department	tt0119654,tt0076759,tt0133152,tt0217505
nm0003816	Jamie D. Boscardin	\N	\N	producer,production_manager,miscellaneous	tt0104694,tt0107798,tt0113277,tt0387877
nm0003817	Michael Clarke Duncan	1957	2012	actor,soundtrack,producer	tt0120689,tt0401792,tt0133152,tt0120591
nm0003818	Nick Brimble	1944	\N	actor	tt0099612,tt0183790,tt0102798,tt0119214
nm0003819	Kevin Kelly Brown	\N	\N	producer	tt0200280,tt6297682,tt3203606,tt0106171
nm0003820	Andrew Charas	\N	\N	producer,writer,miscellaneous	tt0293176,tt0138493,tt0337610,tt0115880
nm0003821	Tony Gardner	\N	\N	actor	tt0067791,tt0064003,tt0063972,tt0059968
nm0003822	Hubie Kerns Jr.	1949	\N	stunts,assistant_director,actor	tt0316732,tt0418279,tt0399201,tt0114558
nm0003823	Richard McQuilkin	\N	\N	miscellaneous,camera_department,location_management	tt0113926,tt0097770,tt0296745,tt0113277
nm0003824	Karen M. Murphy	\N	\N	visual_effects,miscellaneous,production_manager	tt1856101,tt0133093,tt0241527,tt0970179
nm0003825	Andrew Neiderman	1940	\N	writer,miscellaneous,producer	tt0118971,tt0095871,tt2393727,tt8901446
nm0003826	Eric Parkinson	1958	\N	producer,writer,actor	tt10294634,tt6598282,tt0893509,tt0839890
nm0003827	Hammond Peek	\N	\N	sound_department,production_manager,camera_department	tt0167260,tt0167261,tt0360717,tt0120737
nm0003828	Martin Pope	1961	\N	producer,script_department	tt1235189,tt9109620,tt0465430,tt1762300
nm0003829	Mickey Rat	\N	\N	composer	tt0102420
nm0003830	Wendy Richardson	\N	\N	art_department,miscellaneous,assistant_director	tt0109830,tt0277434,tt0232500,tt0126916
nm0003831	Andy Ryan	\N	\N	camera_department,actor	tt0117500,tt1790864,tt0319262,tt1046173
nm0003832	Ingrid Schoelderle	1952	\N	actress	tt0806910,tt0085948,tt0201169,tt9097694
nm0003833	James D. Solomon	\N	\N	miscellaneous,writer,producer	tt0486531,tt0118437,tt0968264,tt3568002
nm0003834	John Stoneham Jr.	\N	\N	stunts,actor,assistant_director	tt1375666,tt0800080,tt5246700,tt3450958
nm0003835	Heather Waters	\N	\N	actress	tt0331634,tt0376606,tt0366620,tt0211955
nm0003836	Michael Powell	1905	1990	director,writer,producer	tt0044103,tt0040725,tt0054167,tt0038733
nm0003837	Stuart Cooper	1942	\N	director,writer,producer	tt0089500,tt0061578,tt0088471,tt0073502
nm0003838	Dominick Tavella	\N	\N	sound_department	tt0138704,tt0299658,tt0947798,tt0795421
nm0003839	Alain Renoir	1921	2008	cinematographer,camera_department,actor	tt0029957,tt0033151,tt0031885,tt0268284
nm0003840	Mark Boucher	1967	\N	art_department	tt0822847,tt5834262,tt1060277,tt0120768
nm0003841	Jon Fries	1968	\N	editorial_department,producer,assistant_director	tt1320103,tt0109770,tt0117468,tt0820466
nm0003842	Femke-Anna Broere	1972	\N	actress	tt0112315,tt0149499,tt0115189,tt0222564
nm0003843	Jack Blum	\N	\N	actor,writer,producer	tt0079540,tt0082498,tt0147867,tt0115397
nm0003844	Darla Crane	1966	\N	actress,director,producer	tt0239145,tt0238884,tt0238842,tt1085798
nm0003845	Craig Camp	\N	\N	camera_department,cinematographer	tt0080836,tt0082656,tt0082984,tt0071780
nm0003846	Volker Gläser	\N	\N	cinematographer,camera_department,editorial_department	tt0116742,tt0765432,tt0119167,tt0253474
nm0003847	Bryan Donnell	1968	\N	cinematographer,camera_department,miscellaneous	tt8218940,tt8792570,tt3102732,tt11285856
nm0003848	Charles-André Bertrand	1960	\N	art_department,assistant_director,production_manager	tt0335121,tt1877832,tt0160009,tt0145681
nm0003849	Daniel Hubbard	1975	\N	casting_director,casting_department,producer	tt1535109,tt0360717,tt0475276,tt0146316
nm0003850	Penny Rogers	\N	\N	miscellaneous,visual_effects,location_management	tt0343818,tt0160184,tt0404032,tt0309593
nm0003851	James Francis Jr.	1979	\N	special_effects	tt0205177,tt0207275,tt0115383,tt0264262
nm0003852	Ernst Kaufmann	1954	\N	director,writer,cinematographer	tt0297952,tt9359696,tt0107352,tt0109076
nm0003853	Robert Ohlandt	\N	\N	sound_department,miscellaneous,assistant_director	tt2630582,tt0118636,tt0209144,tt0145734
nm0003854	Diana Eden	1940	\N	costume_designer,actress,costume_department	tt0063462,tt0192917,tt2189714,tt0068319
nm0003855	Peter Dashkewytch	\N	\N	assistant_director,producer,production_manager	tt3846674,tt0096098,tt0290334,tt2960930
nm0003856	Michael Townsend Wright	1956	\N	actor	tt8174412,tt2572042,tt0179298,tt0146165
nm0003857	Mel Stewart	1929	2002	actor,director	tt0099180,tt0075590,tt0085088,tt0094484
nm0003858	Mel Stewart	1968	\N	actor	tt0110805,tt0307129,tt0246108,tt0096542
nm0003859	Owen Brenman	1956	\N	actor,director,writer	tt0240270,tt0098882,tt0163964,tt0241383
nm0003860	David Caprita	1953	\N	actor,miscellaneous	tt0111255,tt0102492
nm0003861	David Jensen	1952	\N	actor,camera_department,producer	tt4419214,tt0240772,tt2649554,tt0421715
nm0003862	Amy Wilson	\N	\N	actress	tt1671582,tt0181935,tt0362269,tt0264761
nm0003863	Stacey Byers	\N	\N	art_department,miscellaneous	tt0118883,tt0120591,tt0141369,tt0187078
nm0003864	Michael S. Murphey	\N	\N	producer,miscellaneous,writer	tt1136608,tt0089686,tt0096928,tt1343727
nm0003865	Tony Hudson	1963	\N	visual_effects,animation_department,special_effects	tt0119654,tt0091225,tt0092007,tt0093260
nm0003866	Donald Brian	1875	1948	actor	tt0006230,tt0029204,tt4846432,tt0007360
nm0003867	John R. Grantham	\N	\N	actor	tt0102984
nm0003868	John T. Grantham	\N	\N	actor,stunts	tt0117373,tt0106761,tt0113161,tt0105946
nm0003869	David Parks	\N	\N	camera_department,cinematographer,producer	tt0288379,tt0107254,tt0114339,tt0106922
nm0003870	Marilyn Ghigliotti	1961	\N	actress,make_up_department,producer	tt1910498,tt4937114,tt0109445,tt3449200
nm0003871	Jamison Goei	1972	\N	visual_effects,miscellaneous,assistant_director	tt0454841,tt2582802,tt4094724,tt6772950
nm0003872	David Arnold	\N	\N	assistant_director,miscellaneous	tt2322441,tt0985699,tt4776998,tt1190080
nm0003873	Brian Backman	1975	2016	assistant_director,miscellaneous,location_management	tt0242445,tt1592281,tt1321870,tt0120338
nm0003874	Robyn Badger	\N	\N	producer,art_department,production_designer	tt0340390,tt0113776,tt0263905,tt0187995
nm0003875	Hyatt Bass	1969	\N	director,writer,camera_department	tt0108358,tt0212719,tt0105417
nm0003876	Laurent Boulanger	1972	\N	director,writer,editor	tt0497991,tt0255376,tt0210124,tt0240145
nm0003877	Dan Brown	1970	\N	producer,director,writer	tt0993777,tt0497306,tt0238834,tt4081504
nm0003878	David Eric Chapman	\N	\N	assistant_director,producer,production_manager	tt0177971,tt0144117,tt0332047,tt5390504
nm0003879	Jean-Christophe Delpias	\N	\N	assistant_director,director,actor	tt1816049,tt13327060,tt6638962,tt1815798
nm0003880	Sam Hill	\N	\N	producer,director,assistant_director	tt0313043,tt3514324,tt2654580,tt0139134
nm0003881	Steve Hughes	\N	\N	editorial_department,director,editor	tt0436992,tt12885670,tt8270592,tt7573024
nm0003882	Brandon L. Hull	\N	\N	miscellaneous,cinematographer,production_manager	tt0242445,tt0120755,tt0181739,tt0230030
nm0003883	Laura MacNutt	1963	\N	art_director,production_designer,art_department	tt11242218,tt0115243,tt0280969,tt0284655
nm0003884	Paulo Machline	1967	\N	director,producer,writer	tt12567394,tt2041532,tt0207112,tt10501604
nm0003885	Kristen Toscano Messina	\N	\N	set_decorator,art_department	tt0240772,tt0115736,tt0307479,tt0181865
nm0003886	Conrad E. Palmisano	1948	\N	stunts,assistant_director,actor	tt1833673,tt0293564,tt0266915,tt2016894
nm0003887	David W. Rose	1953	\N	assistant_director,producer,actor	tt0113820,tt0116483,tt0239948,tt0094608
nm0003888	J.A. Steel	1969	\N	writer,director,producer	tt5372176,tt0221637,tt0860528,tt1194424
nm0003889	John Stothart	\N	\N	editor,editorial_department	tt0103129,tt0124241,tt0092404,tt0107042
nm0003890	Marcel Visbeen	1966	\N	director,producer,writer	tt2365936,tt0420219,tt1978200,tt0985638
nm0003891	Jane Waters	1944	2011	cinematographer,camera_department,director	tt0177676,tt0089680,tt0153231,tt0426855
nm0003892	David 'Wex' Wechsler	\N	\N	assistant_director,miscellaneous,actor	tt1175709,tt0363988,tt0367089,tt1568338
nm0003893	Hughes Winborne	\N	\N	editor,editorial_department,sound_department	tt1196948,tt1219827,tt0375679,tt2015381
nm0003894	Brian Young	\N	\N	director,writer,producer	tt4135666,tt3587456,tt1905052,tt4115690
nm0003895	Ramon Novarro	1899	1968	actor,soundtrack,director	tt0015268,tt0016641,tt0020253,tt0041178
nm0003896	Eric Dawson	1962	\N	casting_director,casting_department,executive	tt1327801,tt1984119,tt1844624,tt0407362
nm0003897	Claude Ludovicy	\N	\N	location_management,miscellaneous,production_manager	tt0396171,tt0131646,tt0379306,tt0189998
nm0003898	Kirk Bloom	\N	\N	camera_department,miscellaneous	tt0114898,tt0368891,tt1211837,tt2140379
nm0003899	Markham Cook	\N	\N	director,editor,writer	tt0294683,tt3654312,tt1087817,tt0487002
nm0003900	José Luis Alcaine	1938	\N	cinematographer,camera_department,miscellaneous	tt0095675,tt0441909,tt0101026,tt1189073
nm0003901	James Porteous	\N	\N	sound_department,director,writer	tt0092038,tt0103417,tt0220264,tt0092329
nm0003902	Michael DeSantis	\N	\N	miscellaneous,production_manager	tt1013743,tt3385516,tt4682266,tt1637688
nm0003903	Catalina Maria Johnson	\N	\N	producer	tt0179844,tt0359896
nm0003904	Paul May	1909	1976	director,editor,writer	tt0053393,tt0045353,tt0026461,tt0042422
nm0003905	Jim Vines	1963	\N	writer,camera_department,actor	tt0160652,tt14197758,tt6186596,tt13057276
nm0003906	Robert Grand	\N	\N	production_manager,producer,actor	tt0082089,tt0111280,tt0085995,tt0106977
nm0003907	Peter Rosen	\N	\N	director,producer,editor	tt0396087,tt3559558,tt0357625,tt1906381
nm0003909	Michael Lonsdale	1931	2020	actor,soundtrack,writer	tt0069947,tt0079574,tt0408306,tt0122690
nm0003910	Travis Fine	1968	\N	actor,writer,director	tt0103956,tt0172493,tt2066176,tt1525898
nm0003911	Brian Tyler	1972	\N	composer,music_department,soundtrack	tt2395427,tt1197624,tt1144884,tt1300854
nm0003912	Andrew Mulkani	\N	\N	camera_department,producer,miscellaneous	tt0110322,tt0239948,tt0108330,tt0175142
nm0003913	Daniel R. Bradette	\N	\N	art_department,set_decorator	tt0120338,tt0099141,tt0120824,tt0113481
nm0003914	Bill Wandel	1969	\N	composer,soundtrack,music_department	tt1290400,tt1059773,tt1988816,tt1481576
nm0003915	Lindsay Chag	1962	\N	casting_director,casting_department,producer	tt0098084,tt0095705,tt0107977,tt3118452
nm0003916	Tim Trageser	1969	\N	director,writer,actor	tt0134782,tt0240421,tt0240664,tt0258502
nm0003917	Kelley Cauthen	\N	\N	producer,editor,director	tt1086841,tt4663548,tt0845955,tt1699231
nm0003918	Leonor Areal	\N	\N	director,editor,producer	tt6889708,tt0240535,tt1548972,tt4629438
nm0003919	Jeff Ferris	1970	\N	actor,producer,miscellaneous	tt0171056,tt0420425,tt0938291,tt0330622
nm0003920	Michael Ellis	1943	\N	editor,sound_department,editorial_department	tt0115744,tt0914798,tt0089370,tt0078346
nm0003921	Jeff McEvoy	\N	\N	editor,editorial_department,miscellaneous	tt1496025,tt1189340,tt3531824,tt0335563
nm0003922	Michael Goi	1959	\N	cinematographer,camera_department,director	tt1844624,tt1087461,tt11794642,tt8362852
nm0003923	Rodger Boyce	\N	\N	actor	tt0477348,tt0107808,tt0198021,tt0419294
nm0003924	Sandra Woodring	1964	\N	make_up_department,production_manager	tt0250687,tt0214388,tt0197862,tt0164114
nm0003925	Julianne Buescher	1965	\N	actress,miscellaneous,soundtrack	tt0800039,tt1408101,tt0452046,tt4651824
nm0003926	Michael Huens	\N	\N	producer,miscellaneous,art_department	tt2321341,tt1895484,tt0106563,tt6036922
nm0003927	Gyula Gazdag	1947	\N	director,editor,writer	tt0093199,tt0067816,tt0083878,tt0071261
nm0003928	Bob Clendenin	1964	\N	actor,soundtrack	tt0242423,tt0285403,tt1441109,tt0165598
nm0003929	Neill Gorton	1969	\N	special_effects,make_up_department,director	tt0206634,tt0436992,tt0113492,tt0470752
nm0003930	Will Wallace	\N	\N	actor,producer,director	tt0311850,tt0463934,tt0120863,tt0404826
nm0003931	Steve Balderson	1975	\N	director,producer,writer	tt0204322,tt1686326,tt4250482,tt0131534
nm0003932	Josy Capkun	1972	\N	assistant_director	tt1325004,tt1825683,tt3501632,tt0831387
nm0003933	Mark S. Constance	\N	\N	assistant_director,producer,miscellaneous	tt0233469,tt0405336,tt0102685,tt0120891
nm0003934	David Crowther	1970	\N	editor,editorial_department,producer	tt0103644,tt0137363,tt0078748,tt0096754
nm0003935	Ken DuPuis	\N	\N	producer,director	tt0236342,tt0260211,tt0315911
nm0003936	Eivind Fredagsvik Øyangen	1979	\N		\N
nm0003937	Steffen 'Bobby' Henzler	1972	\N	assistant_director	tt0223724
nm0003938	Steven Kreuch	\N	\N	art_department,set_decorator	tt0120523,tt0119675,tt0118671,tt0120261
nm0003939	Vikramaditya Motwane	1976	\N	producer,director,writer	tt1639426,tt3322420,tt0238936,tt1327035
nm0003940	Craig H. Shepherd	1967	\N	miscellaneous,producer,director	tt3872824,tt10925122,tt7370898,tt0221728
nm0003941	David Winning	1961	\N	director,miscellaneous,actor	tt0103352,tt0120389,tt5197820,tt0374455
nm0003942	Blake Bashoff	1981	\N	actor	tt0181689,tt0112602,tt0115676,tt0411008
nm0003943	David Bloch	1965	\N	casting_department,casting_director,actor	tt0187393,tt0177991,tt0139809,tt0120685
nm0003944	Ian James Corlett	1962	\N	actor,writer,music_department	tt0115108,tt1700841,tt0214341,tt0172049
nm0003945	Jud Cremata	\N	\N	producer,miscellaneous,production_manager	tt8547768,tt15079526
nm0003946	Marius De Vries	1961	\N	soundtrack,music_department,composer	tt0117509,tt5697572,tt0203009,tt3783958
nm0003947	Carey Dietrich	\N	\N	assistant_director,producer,production_manager	tt0093692,tt0169547,tt0108399,tt1284575
nm0003948	Michael Duggan	\N	\N	producer,writer,miscellaneous	tt0115270,tt0086759,tt0098844,tt8145202
nm0003949	David E. Fluhr	1957	\N	sound_department,miscellaneous,music_department	tt2948356,tt7207238,tt10016180,tt4520988
nm0003950	Vicky Herman	\N	\N	producer,production_manager,miscellaneous	tt0102800,tt0101366,tt0114814,tt0126802
nm0003951	Eric Hester	1974	\N	composer,music_department	tt0292429,tt0295264,tt0292515,tt0295460
nm0003952	Adam Howard	1962	\N	visual_effects,art_department,special_effects	tt0092455,tt0120338,tt0293564,tt0121766
nm0003953	Matthew Huffman	1970	\N	writer,actor,miscellaneous	tt2963232,tt1376213,tt0187559,tt5649144
nm0003954	Laurent Kossayan	\N	\N	sound_department	tt0211915,tt1502397,tt1413492,tt1291150
nm0003955	Rick B. Larsen	\N	\N	producer,production_manager	tt0155919,tt0113121,tt0174683,tt0112473
nm0003956	David Lombardi	\N	\N	visual_effects,actor,animation_department	tt0298814,tt0359013,tt0185183,tt0120458
nm0003957	Brad Marlowe	\N	\N	director,writer,producer	tt0220852,tt0881919,tt0217031,tt0108538
nm0003958	Pat Mastroianni	1971	\N	actor,soundtrack,director	tt0120685,tt0090417,tt2193041,tt0288937
nm0003959	Louis Natale	1950	2019	composer,music_department,soundtrack	tt0119223,tt0092791,tt0151804,tt0088591
nm0003960	Zrinko Ogresta	1958	\N	director,writer,assistant_director	tt4647482,tt0113440,tt0334551,tt0210629
nm0003961	Allen Ormerod	1958	\N	sound_department,producer	tt0283203,tt0159920,tt0108756,tt0118379
nm0003962	Mike Rotman	\N	\N	producer,director,writer	tt0218495,tt1910277,tt2149310,tt2543712
nm0003963	Bruce A. Simon	\N	\N	assistant_director,production_manager,actor	tt0361192,tt1034320,tt1937222,tt0114745
nm0003964	Frank C. Turner	1951	\N	actor	tt0107665,tt0368578,tt0369226,tt3794354
nm0003965	Václav Táborsky	1928	\N	director,writer	tt0208542,tt0236884,tt0182545,tt8216828
nm0003966	Charles R. Uy	\N	\N	producer,assistant_director,director	tt0209471,tt2531318,tt2400997,tt1172509
nm0003967	Benjamin A. Weissman	\N	\N	editor,producer,visual_effects	tt0093583,tt0101766,tt0094791,tt0103897
nm0003968	Ralph Strasser	\N	\N	director,editor,editorial_department	tt0252778,tt0386977,tt0088580,tt0091069
nm0003969	Jane Walker	\N	\N	make_up_department,actress,art_department	tt0365748,tt0209163,tt0944947,tt1478964
nm0003970	Stephanee LaFleur	1969	\N	actress	tt0188688,tt0206285,tt0189184,tt0210112
nm0003971	David Stephens	1948	\N	producer,writer,camera_department	tt0199389,tt0126943,tt0283974,tt0123956
nm0003972	Ryan Shore	1974	\N	composer,music_department,soundtrack	tt11100856,tt1321510,tt9353248,tt11031770
nm0003973	Peter Blinn	1954	\N	visual_effects,special_effects,camera_department	tt0084827,tt0112625,tt0089878
nm0003974	Philippe Muyl	1953	\N	writer,director,producer	tt2976864,tt0329485,tt0088733,tt0106632
nm0003975	Jeff Stephenson	\N	\N	director,writer,editor	tt2437712,tt0379288,tt1657302,tt1072438
nm0003976	Theo J. Hyman	1978	\N	editorial_department,miscellaneous,sound_department	tt0137494,tt0419978,tt0185906,tt0200669
nm0003977	Gary Rydstrom	1959	\N	sound_department,miscellaneous,director	tt2935510,tt0181689,tt0107290,tt0120815
nm0003978	Andrew Deutsch	\N	\N	writer,actor	tt0102213,tt0093525,tt0098205,tt0101702
nm0003979	Daniel Schweiger	\N	\N	actor,miscellaneous,music_department	tt0279493,tt1464540,tt0457939,tt0337741
nm0003980	Andrea Carter	\N	\N	art_department,miscellaneous,actress	tt2660888,tt3778644,tt4154664,tt1408101
nm0003981	Lydia Cornell	1953	\N	actress,producer,writer	tt0083437,tt0264235,tt0096684,tt0080299
nm0003982	Miura Kite	\N	\N	producer,miscellaneous,casting_department	tt0159365,tt0134119,tt0258068,tt0117887
nm0003983	Andy Roberts	1946	\N	composer,actor,music_department	tt0122838,tt0110889,tt0119092,tt0969784
nm0003984	Guy Gonçalves	\N	\N	cinematographer,camera_department,director	tt0295529,tt3310894,tt0264692,tt1828148
nm0003985	Rick Gioia	\N	\N	camera_department,cinematographer,actor	tt1041829,tt0482572,tt1219289,tt1670345
nm0003986	Stan Egi	\N	\N	actor	tt0119859,tt0091159,tt0107969,tt1600194
nm0003987	Mohandas K. Gandhi	1869	1948	miscellaneous,writer,music_department	tt0083987,tt0232081,tt0456144,tt0244776
nm0003988	Erik Gustafson	\N	\N	actor	tt0115654
nm0003989	Erik Gustavson	1955	\N	director,miscellaneous,writer	tt0099764,tt0090736,tt0108309,tt0145571
nm0003990	Erik Gustavsson	\N	\N	camera_department,cinematographer,assistant_director	tt0075660,tt0162867,tt0192229,tt0068882
nm0003991	Beth Colt	\N	\N	actress,producer,assistant_director	tt0200530,tt0108758,tt0101064,tt0120197
nm0003992	Charles Burke	\N	\N	camera_department,producer,production_manager	tt1582268,tt0120710,tt0468449,tt0882969
nm0003993	Toby Jaffe	\N	\N	producer	tt1846589,tt0181316,tt1634106,tt1386703
nm0003994	Christian Williams	\N	\N	writer,producer,miscellaneous	tt0111999,tt0118278,tt0098761,tt0248654
nm0003995	G. John Garrett	1956	\N	sound_department,miscellaneous	tt1895587,tt0120910,tt0492956,tt0332047
nm0003996	Butch McCain	1958	\N	actor,music_department,producer	tt0489235,tt3147312,tt0115683,tt12038670
nm0003997	Derrick Peters	\N	\N	camera_department,cinematographer	tt3748528,tt1371111,tt0974015,tt3778644
nm0003998	Sarah Bicknell	\N	\N	assistant_director,miscellaneous	tt1571234,tt0779982,tt0760329,tt0360717
nm0003999	Valéry Gaillard	\N	\N	director,assistant_director,actor	tt11886912,tt0811168,tt0101581,tt0853066
nm0004000	Gustavo Fernández	\N	\N	director,assistant_director,miscellaneous	tt0144085,tt10126500,tt1901871,tt2303077
nm0004001	Mark Archer	1973	\N	producer,director,cinematographer	tt0119361,tt8990000,tt7818756,tt0140806
nm0004002	Chris Gurney	1947	\N	sound_department	tt0430912,tt0114388,tt0162661,tt0425413
nm0004003	Joseph Rochlitz	\N	\N	director,actor,writer	tt0362091,tt0102536,tt0212985,tt3089952
nm0004004	Ben Krout	\N	\N	camera_department	tt2717822,tt0948470,tt0477051,tt0227538
nm0004005	Marklen Kennedy	1967	\N	producer,actor,writer	tt6007400,tt7289492,tt5662550,tt0165913
nm0004006	Colin Skelton	1976	\N	director,actor	tt0176269,tt0241950
nm0004007	Raymond King	\N	\N	visual_effects,special_effects	tt0120201,tt1133985,tt0296572,tt0822847
nm0004008	Monika Raebel	\N	\N	producer,miscellaneous,writer	tt0163038,tt0329502,tt0165418,tt0148859
nm0004009	Shawn Tanaka	\N	\N	miscellaneous,actor,writer	tt0427944,tt0486946,tt0308055,tt0120903
nm0004010	Lee Hickey	\N	\N	editor,editorial_department,miscellaneous	tt0306753,tt1173924,tt2231473,tt1095191
nm0004011	Patrick J. Don Vito	\N	\N	editor,editorial_department,visual_effects	tt5706370,tt6966692,tt9168816,tt0251127
nm0004012	Simon Emanuel	1975	\N	assistant_director,production_manager,miscellaneous	tt3748528,tt1462764,tt1877830,tt5180504
nm0004013	Fred Fouquet	\N	\N	editor,editorial_department,visual_effects	tt0119675,tt0116629,tt0116654,tt1663662
nm0004014	Scott Gamzon	\N	\N	editor,editorial_department,writer	tt0141716,tt0364782,tt0851851,tt5171438
nm0004015	Diana Horn	\N	\N	assistant_director,script_department,miscellaneous	tt9022950,tt0108778,tt0379623,tt8359018
nm0004016	Tod Lippy	\N	\N	director,writer	tt1391092,tt0241320
nm0004017	Pamela Malouf	\N	\N	editor,editorial_department,assistant_director	tt0103411,tt0094511,tt0076759,tt0364782
nm0004018	John Nein	1971	\N	miscellaneous,assistant_director,editor	tt0414924,tt0116212,tt0420316,tt0120902
nm0004019	William Pruss	1971	\N	assistant_director,producer,miscellaneous	tt5013056,tt9844904,tt4912910,tt9184986
nm0004020	Steven Douglas Smith	\N	\N	cinematographer,camera_department,producer	tt0130623,tt0343660,tt0455407,tt0795461
nm0004021	Tim Geideman	\N	\N	visual_effects,cinematographer,producer	tt0120201,tt0181689,tt0111280,tt0107290
nm0004022	Morton Stevens	1929	1991	music_department,composer,soundtrack	tt0062568,tt0343660,tt0086491,tt0390022
nm0004023	Philipp Timme	1968	\N	cinematographer,camera_department,visual_effects	tt0119925,tt0118928,tt0120591,tt0116629
nm0004024	Simon Mills	\N	\N	producer,production_manager,assistant_director	tt0103129,tt0490879,tt11318602,tt6212478
nm0004025	Erik Fleming	\N	\N	producer,director,actor	tt3526286,tt2837336,tt0159060,tt0112761
nm0004026	Jeff Hoffman	1971	\N	director,actor,writer	tt2011833,tt0329663,tt0213201,tt14134070
nm0004028	Daniel Bacon	1970	\N	actor	tt1878870,tt0837143,tt3691740,tt3704700
nm0004029	Lillian Buyeff	1920	2001	actress	tt0055674,tt0056162,tt0051907,tt0051301
nm0004030	John Karyus	1975	\N	actor,camera_department,art_department	tt0462485,tt2256858,tt4643048,tt2450186
